fecha,titulo,fuente,tipo_fuente,categoria,ciudad,bogota,url,resumen
2026-02-17,Bogotá fortalece el proceso de preinscripción de Jóvenes con Oportunidades 2026 y habilita nuevo enlace,SDIS - Juventud,institucional,Otra,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#6c31bba0c9,"•El Distrito habilitó un nuevo enlace mejorado para garantizar una experiencia más ágil, estable y segura en la convocatoria 2026 de Jóvenes con Oportunidades. •Las y los jóvenes entre 14 y 28 años que vivan en Bogotá y estén clasificados en Sisbén..."
2026-02-12,La falta de sueño deteriora la salud cerebral y emocional desde la infancia: 60% de los niños y adolescentes no duerme las horas recomendadas,Infobae,gratuito,Salud,Sin identificar,No,https://www.infobae.com/colombia/2026/02/12/la-falta-de-sueno-deteriora-la-salud-cerebral-y-emocional-desde-la-infancia-60-de-los-ninos-y-adolescentes-no-duerme-las-horas-recomendadas/,
2026-02-12,"Aumenta el número de desaparecidos en Córdoba, dos jóvenes arrastrados por un arroyo",El Espectador,diario pago,Protección,Sin identificar,No,https://www.elespectador.com/colombia/mas-regiones/dos-campesinos-en-cordoba-desaparecen-tras-intentar-cruzar-un-arroyo/,"Dos jóvenes campesinos permanecen desaparecidos en Córdoba, luego de que una corriente los arrastrara en cuanto intentaban cruzar un arroyo"
2026-02-06,Bogotá abre convocatoria 2026 del programa Jóvenes con Oportunidades con más de 12.000 nuevos cupos,SDIS - Juventud,institucional,Otra,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#9a0f0687f3,"• El Distrito abre estaconvocatoria de Jóvenes con Oportunidades con más de 8.000 nuevos cupos, en su primera etapa, para jóvenes entre 14 y 28 años de Bogotá, fortaleciendo su acceso a rutas de formación, acompañamiento psicosocial y transferencias..."
2026-02-05,Menores de edad mataron de 17 puñaladas a un hombre que iba de polizón en un camión de carga en la vía Bogotá-Villavicencio: quedó en video - Infobae,Infobae,gratuito,Otra,Bogotá,Sí,https://news.google.com/rss/articles/CBMikAJBVV95cUxNYWQxNTA1UWhDOUtWS2dSWXNNQ19idDVRNXV4aktnZzFERmdBaFg0c2lrT2plR0tXcDN1dlFhd0J0Q1BUVmJEVU1YYTR3N0NtQUx2LTQ3amhNR2pNc0tvcjR6X1FfbkIwczFROFJTaFotclVpRGxId2h1eWtqbHMzSkNXc0JCeU1DWjkxOG5qekx4YjZGRlVVckdyX1gyT0luR2Nkd3ZQUTNFM1d1LUlvMzNSSGxiQUZ5V2pqT2E4WXhZWWRpY2JheDhpaWhwOTQwLThDWFlXU1p0N0lZVk5nSHdVZU8zWVlKNE9GTVJKaUxYTkxDMUt1MTF0NzN5MVUxXzBNUjZtZVJsWm9zMkNNdg?oc=5,
2026-02-05,Menores de edad mataron de 17 puñaladas a un hombre que iba de polizón en un camión de carga en la vía Bogotá-Villavicencio: quedó en video - Infobae,Infobae,gratuito,Otra,Bogotá,Sí,https://news.google.com/rss/articles/CBMikAJBVV95cUxNYWQxNTA1UWhDOUtWS2dSWXNNQ19idDVRNXV4aktnZzFERmdBaFg0c2lrT2plR0tXcDN1dlFhd0J0Q1BUVmJEVU1YYTR3N0NtQUx2LTQ3amhNR2pNc0tvcjR6X1FfbkIwczFROFJTaFotclVpRGxId2h1eWtqbHMzSkNXc0JCeU1DWjkxOG5qekx4YjZGRlVVckdyX1gyT0luR2Nkd3ZQUTNFM1d1LUlvMzNSSGxiQUZ5V2pqT2E4WXhZWWRpY2JheDhpaWhwOTQwLThDWFlXU1p0N0lZVk5nSHdVZU8zWVlKNE9GTVJKaUxYTkxDMUt1MTF0NzN5MVUxXzBNUjZtZVJsWm9zMkNNdtIBqwJBVV95cUxPZnpNT2FPSmdUeFl0UmFScGh6MzVlYm9tVWhQekJjVTdRcHM2ZDlEbWFhVUJBX3dudVF2V01OaDdSRWN6c1FXV2thM0VJOHppRWhaWEVpbTVPOTVTd3RKcmJLT1NHa2MwVlR5SzE2TzlHM0RLS3k2VzFKRDdtaTd2M3RCNENTeXByY1BBTjR1SFE3STJQS3JBWURBRER1cTBKQmx2MVR6Sk5xYlpwbTdpNGRyWVBYdmkxTU9JaWNtRlZVM2JzTGtMQUhxaHFnUmVPQlNPbkNYWGlBX2ttc0Y4cjVzR0dVaFBER3lSMWxRZGVGVTRhTFZ6RE82ZzFKeWJnQ0U0bWlINmlXRE9KdUJvbzdpSEg1NURXMzZKeVNHWTd4b0puVldnbFlscw?oc=5,
2026-02-02,Jóvenes narraron el calvario sufrido cuando fueron víctimas de presunto abuso en la Universidad de Cartagena: “Causó un gran sangrado”,Infobae,gratuito,Educación,Cartagena,No,https://www.infobae.com/colombia/2026/02/02/jovenes-narraron-el-calvario-sufrido-cuando-fueron-victimas-de-presunto-abuso-en-la-universidad-de-cartagena-causo-un-gran-sangrado/,
2026-01-29,Bogotá abre nueva convocatoria de Academia Ñam para fortalecer la empleabilidad juvenil en el sector gastronómico,SDIS - Juventud,institucional,Educación,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#85a520b8bc,"• La Secretaría Distrital de Integración Social, en alianza con la Fundación Gastronomía Social, abre una nueva convocatoria de Academia Ñam, un programa gratuito de formación y práctica laboral en servicio gastronómico dirigido a jóvenes de 18 a 30..."
2026-01-29,CNSC abre convocatoria con más de 1.100 vacantes en la Dian y salarios de hasta $17 millones,Diario ADN,gratuito,Salud,Sin identificar,No,https://www.diarioadn.co/seccion/inicio,"Las inscripciones estarán abiertas del 28 de enero al 6 de febrero, con oportunidades para jóvenes sin experiencia y personas con discapacidad."
2026-01-27,"Frustraron robo en un restaurante en Bosa, Bogotá: un hombre de 23 años y dos menores de edad fueron capturados",Infobae,gratuito,Seguridad,Bogotá,Sí,https://www.infobae.com/colombia/2026/01/27/frustraron-robo-en-un-restaurante-en-bosa-bogota-un-hombre-de-23-anos-y-dos-menores-de-edad-fueron-capturados/,
2026-01-19,Así fue la reacción de jóvenes españoles al descubrir los múltiples significados de la palabra ‘cachucha’,Infobae,gratuito,Otra,Sin identificar,No,https://www.infobae.com/colombia/2026/01/19/asi-fue-la-reaccion-de-jovenes-espanoles-al-descubrir-los-multiples-significados-de-la-palabra-cachucha/,
2026-01-16,Casas de Juventud lanzan nuevos Semilleros Distritales para potenciar el talento juvenil en Bogotá,SDIS - Juventud,institucional,Cultura y deporte,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#f8686f5026,"•Bogotá abre la convocatoria a semilleros gratuitos en artes, deporte y cultura urbana, dirigidos a jóvenes entre 14 y 28 años de todas las localidades, como una estrategia distrital para fortalecer la expresión, la participación y el desarrollo de..."
2026-01-16,Distrito Joven acompañó a más de 50 mil jóvenes en la construcción de sus proyectos de vida durante 2025,SDIS - Juventud,institucional,Otra,Bogotá,Sí,https://www.integracionsocial.gov.co/index.php/noticias/94-noticias-juventud#729a4b8e04,"• Durante 2025, la Subdirección para la Juventud acompañó a más de 50 mil jóvenes en Bogotá, fortaleciendo sus proyectos de vida a través de una atención integral. • Los servicios y estrategias implementados promovieron la inclusión social,..."
